,web-scraper-order,web-scraper-start-url,img,title,date,location,created_in,year
45,1591721298-8605,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Van_Gogh_-_Weizenfeld_mit_Hocken.jpeg/1024px-Van_Gogh_-_Weizenfeld_mit_Hocken.jpeg,Wheat Field with Stacks,June 1888,Private collection,Arles,[1888]
46,1591721298-8317,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Portret_van_een_oude_vrouw_-_s0010V1962_-_Van_Gogh_Museum.jpg/1024px-Portret_van_een_oude_vrouw_-_s0010V1962_-_Van_Gogh_Museum.jpg,Head of an Old Woman with White Cap (The Midwife),December 1885,"Van Gogh Museum, Amsterdam",Antwerp,[1885]
47,1591721298-8272,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Van_Gogh_-_B%C3%A4uerin%2C_einen_Kanal_s%C3%A4ubern.jpeg/1024px-Van_Gogh_-_B%C3%A4uerin%2C_einen_Kanal_s%C3%A4ubern.jpeg,Peasant Woman Digging Up Potatoes,August 1885,Private collection,Nuenen,[1885]
48,1591721298-8135,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Weaver%2C_Seen_from_the_Front_-_My_Dream.jpg/1024px-Weaver%2C_Seen_from_the_Front_-_My_Dream.jpg,"Weaver, Seen from the Front",July 1884,"Museum Boijmans Van Beuningen, Rotterdam",Nuenen,[1884]
49,1591721298-8230,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Studie_voor_%60De_aardappeleters%27_-_s0135V1962r_-_Van_Gogh_Museum.jpg/1024px-Studie_voor_%60De_aardappeleters%27_-_s0135V1962r_-_Van_Gogh_Museum.jpg,Study for The Potato Eaters,April 1885,"Van Gogh Museum, Amsterdam",Nuenen,[1885]
50,1591721298-8289,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Mand_met_aardappels_-_s0152V1962_-_Van_Gogh_Museum.jpg/1024px-Mand_met_aardappels_-_s0152V1962_-_Van_Gogh_Museum.jpg,Basket of Potatoes,September 1885,"Van Gogh Museum, Amsterdam",Nuenen,[1885]
51,1591721298-8372,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vase-with-White-and-Red-Carnations_F236.jpg/1024px-Vase-with-White-and-Red-Carnations_F236.jpg,Vase with White and Red Carnations,1886,Private collection,Paris,[1886]
52,1591721298-8493,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Vincent_van_Gogh_-_Bloeiende_pruimenboomgaard-_naar_Hiroshige_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Bloeiende_pruimenboomgaard-_naar_Hiroshige_-_Google_Art_Project.jpg,"Japonaiserie: Flowering Plum Tree, after Hiroshige's Plum Park in Kameido",1887,"Van Gogh Museum, Amsterdam",Paris,[1887]
53,1591721298-8428,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Zelfportret_-_s0156V1962_-_Van_Gogh_Museum.jpg/1024px-Zelfportret_-_s0156V1962_-_Van_Gogh_Museum.jpg,Self-Portrait with Grey Felt Hat,1887,"Van Gogh Museum, Amsterdam",Paris,[1887]
54,1591721298-8269,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Aardappelrooister_-_s0452S1995_-_Van_Gogh_Museum.jpg/1024px-Aardappelrooister_-_s0452S1995_-_Van_Gogh_Museum.jpg,Woman Lifting Potatoes,August 1885,"Van Gogh Museum, Amsterdam",Nuenen,[1885]
55,1591721298-8734,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Van_Gogh_-_Weg_mit_beschnittenen_Weiden.jpeg/1024px-Van_Gogh_-_Weg_mit_beschnittenen_Weiden.jpeg,Pollard Willows,April 1889,Private collection,Arles,[1889]
56,1591721298-8791,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Gogh%2C_Vincent_van_-_Landscape_at_Saint-R%C3%A9my_%28Enclosed_Field_with_Peasant%29_-_Google_Art_Project.jpg/1024px-Gogh%2C_Vincent_van_-_Landscape_at_Saint-R%C3%A9my_%28Enclosed_Field_with_Peasant%29_-_Google_Art_Project.jpg,Enclosed Field with Peasant,October 1889,Indianapolis Museum of Art,Saint-Rémy,[1889]
57,1591721298-8297,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Van_Gogh_-_Stillleben_mit_drei_Vogelnestern2.jpeg/1024px-Van_Gogh_-_Stillleben_mit_drei_Vogelnestern2.jpeg,Still Life with Three Birds' Nests,October 1885,"Kröller-Müller Museum, Otterlo",Nuenen,[1885]
58,1591721298-8436,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Zonsondergang_te_Montmartre_-_s0133M1970_-_Van_Gogh_Museum.jpg/1024px-Zonsondergang_te_Montmartre_-_s0133M1970_-_Van_Gogh_Museum.jpg,Factories Seen from a Hillside in Moonlight,1887,"Van Gogh Museum, Amsterdam",Paris,[1887]
59,1591721298-8616,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Van_Gogh_-_Blumengarten.jpeg/1024px-Van_Gogh_-_Blumengarten.jpeg,Flowering Garden,July 1888,Private collection,Arles,[1888]
60,1591721298-8646,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Vincent_Willem_van_Gogh_-_Cafe_Terrace_at_Night_%28Yorck%29.jpg/1024px-Vincent_Willem_van_Gogh_-_Cafe_Terrace_at_Night_%28Yorck%29.jpg,Café Terrace at Night,September 1888,"Kröller-Müller Museum, Otterlo",Arles,[1888]
61,1591721298-8820,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Van_Gogh_-_Olivenhain2.jpeg/1024px-Van_Gogh_-_Olivenhain2.jpeg,Olive Grove: Pale Blue Sky,November 1889,"Metropolitan Museum of Art, New York",Saint-Rémy,[1889]
62,1591721298-8346,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Van_Gogh_-_Vase_mit_rotem_Klatschmohn.jpeg/1024px-Van_Gogh_-_Vase_mit_rotem_Klatschmohn.jpeg,Vase with Red Poppies,1886,"Wadsworth Atheneum, Hartford",Paris,[1886]
63,1591721298-8561,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Vincent_van_Gogh_-_De_brug_van_Langlois_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_De_brug_van_Langlois_-_Google_Art_Project.jpg,The Langlois Bridge at Arles with Road Alongside the Canal,March 1888,"Van Gogh Museum, Amsterdam",Arles,[1888]
64,1591721298-8235,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Van_Gogh_-_Kopf_einer_B%C3%A4uerin_mit_wei%C3%9Fer_Haube28.jpeg/1024px-Van_Gogh_-_Kopf_einer_B%C3%A4uerin_mit_wei%C3%9Fer_Haube28.jpeg,Head of a Peasant Woman with White Cap,April 1885,"Scottish National Gallery, Edinburgh",Nuenen,[1885]
65,1591721298-8291,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Van_Gogh_-_Stillleben_mit_Kohlk%C3%B6pfen%2C_Kartoffelkorb_und_Bl%C3%A4ttern.jpeg/1024px-Van_Gogh_-_Stillleben_mit_Kohlk%C3%B6pfen%2C_Kartoffelkorb_und_Bl%C3%A4ttern.jpeg,"Still Life with a Basket of Potatoes, Surrounded by Autumn Leaves and Vegetables",September 1885,Private collection,Nuenen,[1885]
66,1591721298-8122,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_pl%C3%BCgenden_Bauern.jpeg/1024px-Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_pl%C3%BCgenden_Bauern.jpeg,The Old Tower at Nuenen with a Ploughman,February 1884,"Kröller-Müller Museum, Otterlo",Nuenen,[1884]
67,1591721298-8788,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/La_Chambre_%C3%A0_Arles%2C_by_Vincent_van_Gogh%2C_from_C2RMF.jpg/1024px-La_Chambre_%C3%A0_Arles%2C_by_Vincent_van_Gogh%2C_from_C2RMF.jpg,Bedroom in Arles,September 1889,"Musée d'Orsay, Paris",Saint-Rémy,[1889]
